dpto5,departamento,provincia,eci_software,eci_diversity,eci_avg_ubiquity,gh_total_developers,gh_total_repos,pob_2022,rank
26007,Biedma,Chubut,2.1112704546167733,14,30.214285714285715,59.0,686.0,102806.0,1
82063,La Capital,Santa Fe,2.108985958362051,38,25.57894736842105,1330.0,24818.0,568259.0,2
14014,Capital,Córdoba,2.0789941970605055,47,25.425531914893618,2411.0,50004.0,1498060.0,3
62021,Bariloche,Río Negro,2.002863788721023,34,28.764705882352942,344.0,3093.0,161443.0,4
06441,La Plata,Buenos Aires,1.9344823708873045,37,28.37837837837838,1677.0,18483.0,756074.0,5
94015,Tolhuin,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",1.9256302964825804,24,30.333333333333332,200.0,2136.0,86036.0,6
82084,Rosario,Santa Fe,1.784252080740993,43,27.11627906976744,1756.0,25257.0,1337958.0,7
50007,Capital,Mendoza,1.776075460658003,35,31.02857142857143,836.0,16642.0,123715.0,8
62042,General Roca,Río Negro,1.7362444926760237,26,35.34615384615385,104.0,1257.0,379627.0,9
06602,Patagones,Buenos Aires,1.6599995984568585,23,36.43478260869565,74.0,756.0,37499.0,10
30084,Paraná,Entre Ríos,1.6479622639974592,26,32.84615384615385,338.0,3746.0,388716.0,11
30098,Uruguay,Entre Ríos,1.6350387238972675,22,33.72727272727273,135.0,1519.0,115516.0,12
06791,Tandil,Buenos Aires,1.6334568394744358,30,33.13333333333333,861.0,8566.0,144678.0,13
06056,Bahía Blanca,Buenos Aires,1.5229483825568555,26,31.307692307692307,355.0,3273.0,334505.0,14
14098,Río Cuarto,Córdoba,1.5112811745994637,31,33.74193548387097,395.0,3608.0,277979.0,15
06658,Quilmes,Buenos Aires,1.506450348022411,26,33.26923076923077,228.0,2863.0,631774.0,16
06623,Pergamino,Buenos Aires,1.4545233558559194,24,42.333333333333336,122.0,1089.0,114988.0,17
74056,Juan Martín de Pueyrredón,San Luis,1.4109446340297944,25,35.36,185.0,1553.0,260769.0,18
30015,Concordia,Entre Ríos,1.399922858441183,29,35.48275862068966,185.0,1515.0,197603.0,19
18007,Bella Vista,Corrientes,1.3889186203465198,11,37.63636363636363,14.0,184.0,44369.0,20
22140,San Fernando,Chaco,1.3393169087638725,21,42.476190476190474,512.0,5202.0,413764.0,21
50105,San Rafael,Mendoza,1.3344163886299305,22,43.86363636363637,118.0,2035.0,213204.0,22
06861,Vicente López,Buenos Aires,1.3026154902125293,17,43.588235294117645,126.0,1181.0,280541.0,23
14091,Punilla,Córdoba,1.2679517953664858,26,40.15384615384615,172.0,1983.0,219494.0,24
82014,Caseros,Santa Fe,1.2340855319310597,12,42.833333333333336,28.0,358.0,86261.0,25
06760,San Miguel,Buenos Aires,1.1989270955958113,17,41.94117647058823,298.0,4117.0,327650.0,26
26077,Rawson,Chubut,1.1909962636458076,30,39.13333333333333,179.0,1803.0,144420.0,27
06539,Merlo,Buenos Aires,1.1837854965385801,16,32.0,67.0,664.0,581484.0,28
18021,Capital,Corrientes,1.140599500942761,27,39.666666666666664,766.0,7519.0,437446.0,29
90084,Capital,Tucumán,1.091052784943383,17,41.411764705882355,615.0,7476.0,587289.0,30
06357,General Pueyrredón,Buenos Aires,1.0773976311411932,27,40.18518518518518,1397.0,17212.0,660569.0,31
10049,Capital,Catamarca,1.0381829970806706,17,39.94117647058823,173.0,1984.0,186466.0,32
14182,Unión,Córdoba,1.0266503741297333,20,46.7,75.0,852.0,113635.0,33
06497,Luján,Buenos Aires,1.009490016288074,17,42.1764705882353,42.0,324.0,110111.0,34
58035,Confluencia,Neuquén,1.0094805078049442,28,42.892857142857146,242.0,2283.0,467217.0,35
06756,San Isidro,Buenos Aires,0.9774000918830841,22,41.59090909090909,77.0,751.0,295978.0,36
66028,Capital,Salta,0.964803722160276,25,42.12,786.0,8144.0,624003.0,37
06434,Lanús,Buenos Aires,0.9432759314820791,16,47.25,69.0,847.0,460081.0,38
06693,Roque Pérez,Buenos Aires,0.9365181656185287,5,49.0,3.0,24.0,13901.0,39
06274,Florencio Varela,Buenos Aires,0.9335267240521855,13,45.23076923076923,64.0,542.0,488103.0,40
06490,Lomas de Zamora,Buenos Aires,0.9141017717826769,22,42.04545454545455,187.0,1615.0,685644.0,41
54007,Apóstoles,Misiones,0.9089545239494636,19,44.89473684210526,18.0,219.0,50503.0,42
82021,Castellanos,Santa Fe,0.9062195669538694,23,43.08695652173913,238.0,2276.0,189464.0,43
06568,Morón,Buenos Aires,0.90485011641864,23,43.82608695652174,84.0,665.0,329517.0,44
54028,Capital,Misiones,0.9042695482175325,24,43.416666666666664,518.0,5684.0,391498.0,45
06063,Balcarce,Buenos Aires,0.8670710545351585,7,51.285714285714285,18.0,140.0,48516.0,46
06126,Campana,Buenos Aires,0.8552793550583623,21,44.666666666666664,55.0,495.0,107976.0,47
14161,Tercero Arriba,Córdoba,0.8513170349126551,19,50.578947368421055,79.0,570.0,120207.0,48
02000,CABA,Ciudad Autónoma de Buenos Aires,0.8511857005106829,28,40.357142857142854,1359.0,16965.0,3095454.0,49
14042,General San Martín,Córdoba,0.8505261933605822,19,45.68421052631579,219.0,2062.0,152397.0,50
82049,General Obligado,Santa Fe,0.8411040705692342,21,42.714285714285715,76.0,612.0,197533.0,51
06638,Pilar,Buenos Aires,0.8356716181744303,25,46.8,135.0,1410.0,393614.0,52
30008,Colón,Entre Ríos,0.8143521759324609,16,45.75,17.0,252.0,74890.0,53
06035,Avellaneda,Buenos Aires,0.7864102172070082,25,45.4,201.0,2001.0,366117.0,54
06427,La Matanza,Buenos Aires,0.7543943268160144,22,44.13636363636363,115.0,995.0,1837168.0,55
14147,Santa María,Córdoba,0.7205618616648354,17,46.94117647058823,70.0,595.0,139012.0,56
06588,9 de Julio,Buenos Aires,0.7200329441987181,7,50.857142857142854,6.0,32.0,52366.0,57
58056,Lácar,Neuquén,0.7143373587666563,11,52.18181818181818,9.0,71.0,39567.0,58
06805,Tigre,Buenos Aires,0.7040965212032566,17,45.64705882352941,113.0,1005.0,446291.0,59
06595,Olavarría,Buenos Aires,0.6888784177497715,15,45.2,42.0,416.0,122011.0,60
06413,Junín,Buenos Aires,0.6848830624922992,13,56.61538461538461,60.0,460.0,100964.0,61
34014,Formosa,Formosa,0.6063073851547917,17,43.0,335.0,5068.0,268572.0,62
06408,Hurlingham,Buenos Aires,0.6014376810617007,16,51.0625,95.0,1125.0,185361.0,63
38021,Dr. Manuel Belgrano,Jujuy,0.5958203458392622,17,50.1764705882353,448.0,6204.0,319469.0,64
54042,Eldorado,Misiones,0.5944371013689954,15,52.2,25.0,267.0,91133.0,65
14021,Colón,Córdoba,0.554672501310723,21,50.42857142857143,117.0,1506.0,294511.0,66
30056,Gualeguaychú,Entre Ríos,0.5371704662587636,19,48.578947368421055,80.0,592.0,125176.0,67
06515,Malvinas Argentinas,Buenos Aires,0.5125530762645645,13,46.53846153846154,34.0,451.0,349401.0,68
54063,Iguazú,Misiones,0.5081655503845867,18,49.72222222222222,22.0,170.0,99838.0,69
06749,San Fernando,Buenos Aires,0.5036300362291748,13,51.69230769230769,42.0,625.0,171099.0,70
06868,Villa Gesell,Buenos Aires,0.5033876292425022,9,49.22222222222222,17.0,175.0,37325.0,71
06091,Berazategui,Buenos Aires,0.5008394151205915,17,49.64705882352941,110.0,843.0,358328.0,72
26021,Escalante,Chubut,0.4842583946308447,17,56.76470588235294,68.0,512.0,214829.0,73
82070,Las Colonias,Santa Fe,0.48398413268455387,13,46.53846153846154,32.0,347.0,114730.0,74
06364,General Rodríguez,Buenos Aires,0.4808128530827046,16,54.9375,17.0,176.0,142315.0,75
14007,Calamuchita,Córdoba,0.4379301597713727,11,53.36363636363637,26.0,214.0,75462.0,76
90105,Tafí Viejo,Tucumán,0.4355524823811235,3,54.666666666666664,7.0,37.0,172877.0,77
30049,Gualeguay,Entre Ríos,0.4177578622649236,10,58.7,15.0,100.0,56796.0,78
14063,Marcos Juárez,Córdoba,0.4072880799475455,11,48.36363636363637,46.0,274.0,107286.0,79
14049,Ischilín,Córdoba,0.3777886541881903,2,67.0,11.0,58.0,36023.0,80
06763,San Nicolás,Buenos Aires,0.37259120723714784,14,55.285714285714285,81.0,759.0,166657.0,81
82042,General López,Santa Fe,0.3626530966432183,13,58.76923076923077,72.0,625.0,200455.0,82
82077,9 de Julio,Santa Fe,0.36208497477550217,6,67.5,2.0,55.0,30942.0,83
06098,Berisso,Buenos Aires,0.3609858781160067,10,55.0,22.0,169.0,100685.0,84
06399,Guaminí,Buenos Aires,0.36044691347645685,7,57.57142857142857,2.0,37.0,11662.0,85
06644,Pinamar,Buenos Aires,0.3413122954343949,16,54.9375,39.0,413.0,39224.0,86
06028,Almirante Brown,Buenos Aires,0.33840063382334573,15,48.6,65.0,649.0,583209.0,87
86049,Capital,Santiago del Estero,0.33390776549075496,5,55.6,2.0,68.0,328824.0,88
06049,Azul,Buenos Aires,0.30528633771006514,13,58.92307692307692,40.0,356.0,75152.0,89
18168,Santo Tomé,Corrientes,0.28237109209157085,3,62.0,9.0,52.0,71922.0,90
06581,Necochea,Buenos Aires,0.2587933194837455,15,55.6,79.0,862.0,101483.0,91
82007,Belgrano,Santa Fe,0.24890798780561507,7,69.85714285714286,8.0,29.0,48544.0,92
06819,Tornquist,Buenos Aires,0.2487201507175236,9,58.22222222222222,12.0,93.0,14591.0,93
14119,Río Segundo,Córdoba,0.24591435785905214,10,59.0,36.0,187.0,113311.0,94
82133,Vera,Santa Fe,0.243060972080171,6,60.666666666666664,9.0,87.0,55463.0,95
06525,Marcos Paz,Buenos Aires,0.22187873028372326,7,68.71428571428571,7.0,19.0,64761.0,96
30021,Diamante,Entre Ríos,0.21739240281508035,9,61.22222222222222,6.0,71.0,52312.0,97
14140,San Justo,Córdoba,0.21460743141832453,17,53.76470588235294,220.0,1866.0,228951.0,98
30028,Federación,Entre Ríos,0.20830110030168322,11,61.54545454545455,11.0,75.0,78264.0,99
50021,Godoy Cruz,Mendoza,0.20694533617693603,10,57.1,17.0,548.0,194557.0,100
38094,Tilcara,Jujuy,0.20444085977211035,4,71.25,2.0,15.0,14621.0,101
06840,Tres de Febrero,Buenos Aires,0.18420873600298493,14,56.07142857142857,49.0,486.0,362319.0,102
26042,Gaiman,Chubut,0.1643312675668603,8,61.125,9.0,105.0,12505.0,103
06147,Carlos Casares,Buenos Aires,0.16426829191647266,8,54.875,8.0,118.0,22905.0,104
06280,General Alvarado,Buenos Aires,0.16286567520230927,9,56.888888888888886,17.0,203.0,45307.0,105
06882,Zárate,Buenos Aires,0.12767875217164,9,51.77777777777778,19.0,168.0,131415.0,106
06686,Rojas,Buenos Aires,0.10438116897601321,7,63.142857142857146,14.0,82.0,25619.0,107
06119,Brandsen,Buenos Aires,0.10145278733258174,8,65.375,5.0,63.0,32350.0,108
06371,General San Martín,Buenos Aires,0.09045767350120872,11,59.81818181818182,54.0,566.0,444503.0,109
06560,Moreno,Buenos Aires,0.08295325918080483,12,62.75,41.0,288.0,575758.0,110
06826,Trenque Lauquen,Buenos Aires,0.06799927973131116,10,63.8,19.0,215.0,49128.0,111
06252,Escobar,Buenos Aires,0.05512991132076335,14,53.92857142857143,30.0,324.0,256071.0,112
54091,Oberá,Misiones,0.05090214793164047,14,59.5,51.0,388.0,120703.0,113
06161,Carmen de Areco,Buenos Aires,0.0018619450544359495,8,62.25,3.0,72.0,17345.0,114
54119,25 de Mayo,Misiones,-0.007785019909930928,3,75.0,1.0,19.0,30877.0,115
06224,Chivilcoy,Buenos Aires,-0.008061876831308509,10,64.4,46.0,344.0,70554.0,116
06182,Coronel de Marina Leonardo Rosales,Buenos Aires,-0.015524274799456464,9,61.22222222222222,37.0,276.0,65823.0,117
06833,Tres Arroyos,Buenos Aires,-0.04424439805154462,10,62.6,58.0,320.0,61889.0,118
14084,Presidente Roque Sáenz Peña,Córdoba,-0.05862475152072127,7,69.85714285714286,11.0,55.0,37551.0,119
06412,José C. Paz,Buenos Aires,-0.059900436892256895,9,67.66666666666667,14.0,128.0,326527.0,120
14028,Cruz del Eje,Córdoba,-0.06023337680953337,12,63.166666666666664,39.0,492.0,64748.0,121
06648,Presidente Perón,Buenos Aires,-0.07459789683231033,6,67.5,13.0,53.0,101994.0,122
06175,Colón,Buenos Aires,-0.07622701528705626,4,76.0,5.0,25.0,27406.0,123
30091,Tala,Entre Ríos,-0.10088044571754928,7,61.42857142857143,3.0,39.0,31091.0,124
06553,Monte Hermoso,Buenos Aires,-0.10767903036144734,7,68.14285714285714,6.0,36.0,8444.0,125
06070,Baradero,Buenos Aires,-0.12981519018053872,6,65.16666666666667,29.0,270.0,39223.0,126
06728,San Andrés de Giles,Buenos Aires,-0.13699067539714826,5,75.0,3.0,17.0,26399.0,127
06700,Saavedra,Buenos Aires,-0.14594486996672312,3,52.333333333333336,2.0,19.0,21407.0,128
22168,25 de Mayo,Chaco,-0.1832676944989586,5,86.6,3.0,70.0,32606.0,129
50028,Guaymallén,Mendoza,-0.19228578583476197,6,71.16666666666667,4.0,88.0,320871.0,130
06770,San Pedro,Buenos Aires,-0.21053408758762773,8,67.5,15.0,174.0,68353.0,131
06665,Ramallo,Buenos Aires,-0.2294640502752123,8,70.25,22.0,213.0,39648.0,132
06245,Ensenada,Buenos Aires,-0.24228252309141307,9,70.88888888888889,12.0,141.0,63978.0,133
70028,Capital,San Juan,-0.2623356027303298,9,64.44444444444444,12.0,117.0,114849.0,134
14126,San Alberto,Córdoba,-0.2692484740335904,9,69.66666666666667,24.0,141.0,42029.0,135
06315,General Juan Madariaga,Buenos Aires,-0.27192761968978224,7,77.0,4.0,38.0,22566.0,136
06260,Esteban Echeverría,Buenos Aires,-0.27652211475320854,11,66.72727272727273,41.0,598.0,337880.0,137
06410,Ituzaingó,Buenos Aires,-0.27897809953330677,10,64.2,23.0,204.0,177983.0,138
54070,Leandro N. Alem,Misiones,-0.28600107881431125,9,67.11111111111111,14.0,48.0,49391.0,139
70035,Caucete,San Juan,-0.2884997504830555,1,75.0,3.0,13.0,44017.0,140
58042,Chos Malal,Neuquén,-0.2941048860690919,4,69.5,2.0,38.0,18289.0,141
06672,Rauch,Buenos Aires,-0.2954401299521512,8,68.375,4.0,33.0,16491.0,142
06270,Ezeiza,Buenos Aires,-0.3319603966849903,11,69.81818181818181,17.0,183.0,198620.0,143
06210,Chacabuco,Buenos Aires,-0.3415774341741209,9,63.55555555555556,11.0,44.0,52409.0,144
06547,Monte,Buenos Aires,-0.34369057775180084,11,69.0,22.0,444.0,24616.0,145
22098,Mayor Luis J. Fontana,Chaco,-0.3444487000041602,5,60.8,4.0,52.0,59798.0,146
06420,La Costa,Buenos Aires,-0.3565379252927158,8,70.5,19.0,153.0,100400.0,147
30077,Nogoyá,Entre Ríos,-0.38958438334636847,6,78.83333333333333,13.0,60.0,42954.0,148
66140,Rosario de la Frontera,Salta,-0.39744116472043967,4,87.25,3.0,34.0,33750.0,149
50014,General Alvear,Mendoza,-0.4220929809997268,8,70.5,9.0,104.0,52379.0,150
66049,General Güemes,Salta,-0.4309706328545049,4,85.75,2.0,22.0,55746.0,151
06854,25 de Mayo,Buenos Aires,-0.43957654492876286,6,73.16666666666667,4.0,49.0,35411.0,152
06196,Coronel Pringles,Buenos Aires,-0.4412404411029542,7,64.42857142857143,2.0,19.0,24110.0,153
82112,San Justo,Santa Fe,-0.4433288982661257,6,81.5,24.0,173.0,46486.0,154
10021,Andalgalá,Catamarca,-0.44589160580633946,5,75.2,1.0,35.0,19545.0,155
54098,San Ignacio,Misiones,-0.45414682560349495,10,70.2,9.0,160.0,63194.0,156
10105,Tinogasta,Catamarca,-0.45916468169804575,5,80.4,4.0,45.0,25254.0,157
58070,Los Lagos,Neuquén,-0.4597061931301918,5,84.0,5.0,26.0,15502.0,158
06105,Bolívar,Buenos Aires,-0.4744285181863221,8,73.625,13.0,157.0,37194.0,159
54077,Libertador General San Martín,Misiones,-0.47659737389132145,5,80.4,12.0,123.0,52166.0,160
38042,Palpalá,Jujuy,-0.4984509673508419,6,77.83333333333333,9.0,92.0,65522.0,161
06469,Lincoln,Buenos Aires,-0.498656698396809,3,73.33333333333333,9.0,34.0,45191.0,162
06778,San Vicente,Buenos Aires,-0.5174749919409475,5,87.2,8.0,59.0,97929.0,163
06238,Dolores,Buenos Aires,-0.5910706856945359,4,88.5,11.0,73.0,31405.0,164
82119,San Lorenzo,Santa Fe,-0.6123354249489328,9,74.55555555555556,21.0,264.0,193786.0,165
30088,San Salvador,Entre Ríos,-0.6314357261927351,8,81.5,7.0,117.0,20786.0,166
06483,Lobos,Buenos Aires,-0.6447251426188304,8,78.125,6.0,105.0,41418.0,167
06707,Saladillo,Buenos Aires,-0.6587556521408584,6,77.16666666666667,6.0,42.0,35423.0,168
14056,Juárez Celman,Córdoba,-0.6638572908624827,8,75.25,25.0,261.0,67648.0,169
06455,Las Flores,Buenos Aires,-0.698749644292089,5,75.4,7.0,75.0,27136.0,170
06735,San Antonio de Areco,Buenos Aires,-0.7220148047636246,6,82.5,7.0,41.0,26695.0,171
82028,Constitución,Santa Fe,-0.7292603721410272,7,80.0,13.0,67.0,93000.0,172
50119,Tunuyán,Mendoza,-0.7366280462800154,7,75.14285714285714,2.0,25.0,59972.0,173
26035,Futaleufú,Chubut,-0.7648332343035756,10,77.8,23.0,334.0,49965.0,174
30105,Victoria,Entre Ríos,-0.7693857863575017,7,86.85714285714286,10.0,96.0,40301.0,175
06655,Punta Indio,Buenos Aires,-0.7800220746723602,4,83.75,5.0,20.0,12161.0,176
22021,Comandante Fernández,Chaco,-0.7853695054723896,9,83.55555555555556,33.0,358.0,101086.0,177
50056,Lavalle,Mendoza,-0.7873493956539601,3,77.33333333333333,1.0,11.0,47086.0,178
06532,Mercedes,Buenos Aires,-0.7952062927614711,8,77.375,25.0,382.0,71002.0,179
06231,Daireaux,Buenos Aires,-0.8081670367326649,4,83.0,3.0,30.0,18328.0,180
06651,Puán,Buenos Aires,-0.8406981037151051,5,80.2,2.0,27.0,16391.0,181
14035,General Roca,Córdoba,-0.8509215024255345,5,94.8,3.0,37.0,36064.0,182
06203,Coronel Suárez,Buenos Aires,-0.9050906294788079,5,88.4,9.0,103.0,41713.0,183
18084,Ituzaingó,Corrientes,-0.9234556874040311,6,77.5,11.0,70.0,38767.0,184
06077,Arrecifes,Buenos Aires,-0.9568127434818993,5,88.2,7.0,62.0,32077.0,185
06784,Suipacha,Buenos Aires,-0.9661508651916302,6,81.33333333333333,3.0,21.0,11736.0,186
06714,Salto,Buenos Aires,-0.9805465138071556,4,105.25,5.0,18.0,39257.0,187
06574,Navarro,Buenos Aires,-0.9811370985390789,7,85.28571428571429,11.0,54.0,19888.0,188
06518,Mar Chiquita,Buenos Aires,-1.0072965528376785,8,83.25,7.0,80.0,32973.0,189
06385,General Viamonte,Buenos Aires,-1.0333736034016092,5,83.6,3.0,27.0,22530.0,190
46014,Capital,La Rioja,-1.0397566927967645,2,102.0,5.0,20.0,210507.0,191
90119,Yerba Buena,Tucumán,-1.0447303490679114,8,88.5,16.0,134.0,102589.0,192
66056,General José de San Martín,Salta,-1.0455967199018945,3,92.66666666666667,7.0,50.0,177448.0,193
06505,Magdalena,Buenos Aires,-1.0602372887072278,3,85.33333333333333,3.0,25.0,22653.0,194
06277,Florentino Ameghino,Buenos Aires,-1.0988847742090688,3,88.0,2.0,26.0,10759.0,195
90070,Monteros,Tucumán,-1.1401065946253774,5,92.8,2.0,20.0,77469.0,196
06511,Maipú,Buenos Aires,-1.1592425342638841,5,91.4,1.0,25.0,11253.0,197
06021,Alberti,Buenos Aires,-1.1651319444012762,5,84.2,4.0,46.0,12906.0,198
58112,Zapala,Neuquén,-1.190161727480119,5,89.6,5.0,29.0,45540.0,199
38035,Ledesma,Jujuy,-1.200872390187549,5,90.4,5.0,86.0,93653.0,200
06301,General Belgrano,Buenos Aires,-1.3196007002202421,3,98.0,2.0,19.0,20674.0,201
82091,San Cristóbal,Santa Fe,-1.3482546764112535,3,81.66666666666667,12.0,138.0,72593.0,202
66077,La Caldera,Salta,-1.402608941064634,4,93.75,4.0,30.0,12246.0,203
50070,Maipú,Mendoza,-1.441404614984115,3,105.33333333333333,8.0,161.0,218887.0,204
06462,Leandro N. Alem,Buenos Aires,-1.4650276084178977,3,94.66666666666667,3.0,25.0,17153.0,205
22105,9 de Julio,Chaco,-1.4804374526992397,5,99.6,3.0,69.0,30223.0,206
90077,Río Chico,Tucumán,-1.5397872966197048,4,105.75,2.0,17.0,64927.0,207
90021,Chicligasta,Tucumán,-1.552956843410214,5,98.2,2.0,184.0,92308.0,208
06798,Tapalqué,Buenos Aires,-1.6861793028750534,4,109.75,1.0,14.0,10695.0,209
06392,General Villegas,Buenos Aires,-1.7067039526290326,5,103.6,5.0,21.0,35055.0,210
06189,Coronel Dorrego,Buenos Aires,-1.715408595302464,3,110.66666666666667,5.0,36.0,15795.0,211
06742,San Cayetano,Buenos Aires,-1.9757464965121376,3,104.33333333333333,1.0,20.0,8918.0,212
30113,Villaguay,Entre Ríos,-1.9757464965121376,3,104.33333333333333,6.0,30.0,55284.0,213
90049,La Cocha,Tucumán,-1.97648352433398,3,121.0,2.0,19.0,21196.0,214
06112,Bragado,Buenos Aires,-1.97648352433398,3,121.0,7.0,94.0,46227.0,215
82105,San Jerónimo,Santa Fe,-1.97648352433398,3,121.0,9.0,87.0,84617.0,216
54014,Cainguás,Misiones,-2.0506145084983083,3,106.0,4.0,22.0,59875.0,217
54084,Montecarlo,Misiones,-2.0506145084983083,3,106.0,2.0,46.0,38620.0,218
90112,Trancas,Tucumán,-2.069218468945733,2,117.0,2.0,15.0,23438.0,219
06084,Benito Juárez,Buenos Aires,-2.1804149451922266,2,94.5,2.0,55.0,21185.0,220
06322,General La Madrid,Buenos Aires,-2.1815204869249887,2,119.5,2.0,42.0,11535.0,221
66021,Cafayate,Salta,-2.1815204869249887,2,119.5,1.0,17.0,17822.0,222
78021,Güer Aike,Santa Cruz,-2.1815204869249887,2,119.5,1.0,12.0,137309.0,223
06294,General Arenales,Buenos Aires,-2.572027338739504,1,110.0,2.0,11.0,16231.0,224
